player_id,game_id,play_id,bayesian_rating,bayesian_uncertainty,overall_0_100
34452.0,2023091709.0,4397.0,3.903,0.013,39.03
35452.0,2023091011.0,3455.0,4.624,0.8,46.239999999999995
35459.0,2023091711.0,1807.0,6.048,0.028,60.480000000000004
35534.0,2023091800.0,1454.0,4.033,0.308,40.330000000000005
37078.0,2023091801.0,4431.0,5.411,0.018,54.11
37097.0,2023091800.0,2500.0,6.376,0.8,63.760000000000005
37139.0,2023091710.0,4103.0,3.906,0.055,39.06
37145.0,2023091800.0,3852.0,5.744,0.235,57.44
38538.0,2023091707.0,3600.0,3.89,0.022,38.9
38540.0,2023091710.0,4103.0,5.258,0.026,52.58
38559.0,2023091400.0,3668.0,5.795,0.025,57.95
38577.0,2023091703.0,4179.0,5.629,0.019,56.28999999999999
38588.0,2023091706.0,3981.0,5.638,0.019,56.379999999999995
38605.0,2023091711.0,4627.0,4.012,0.019,40.12
38607.0,2023091800.0,4369.0,5.607,0.022,56.07
38632.0,2023091400.0,4132.0,3.997,0.013,39.97
38696.0,2023091703.0,4179.0,3.943,0.031,39.43
38707.0,2023091712.0,4453.0,5.918,0.098,59.18
38843.0,2023091801.0,2091.0,5.888,0.035,58.879999999999995
38868.0,2023091709.0,4397.0,5.376,0.012,53.760000000000005
39973.0,2023091707.0,3600.0,3.842,0.026,38.42
39983.0,2023091708.0,4341.0,3.956,0.027,39.56
39984.0,2023091400.0,4132.0,5.346,0.013,53.46
39987.0,2023091703.0,4478.0,3.979,0.022,39.79
39989.0,2023091704.0,4457.0,3.87,0.018,38.7
40011.0,2023091705.0,4350.0,3.899,0.052,38.99
40017.0,2023091800.0,4369.0,5.686,0.019,56.86
40024.0,2023091707.0,4001.0,3.939,0.018,39.39
40026.0,2023091801.0,3554.0,3.938,0.121,39.38
40078.0,2023091709.0,3640.0,3.942,0.062,39.42
40107.0,2023091701.0,3025.0,5.764,0.033,57.64
40129.0,2023091701.0,2705.0,4.013,0.075,40.129999999999995
40166.0,2023091701.0,3025.0,5.649,0.033,56.49
40488.0,2023091800.0,4369.0,3.961,0.021,39.61
41227.0,2023091702.0,2298.0,5.8,0.308,58.0
41231.0,2023091707.0,2523.0,5.588,0.235,55.88
41233.0,2023091706.0,3751.0,3.826,0.023,38.26
41238.0,2023091702.0,2136.0,3.967,0.033,39.67
41243.0,2023091710.0,4152.0,5.501,0.017,55.010000000000005
41246.0,2023091013.0,3257.0,3.991,0.066,39.910000000000004
41265.0,2023091800.0,3852.0,3.883,0.022,38.83
41282.0,2023091701.0,3521.0,3.982,0.024,39.82
41290.0,2023091801.0,2723.0,4.002,0.021,40.019999999999996
41291.0,2023091701.0,3521.0,4.0,0.024,40.0
41325.0,2023091705.0,4350.0,3.945,0.041,39.449999999999996
41349.0,2023091711.0,1807.0,3.846,0.034,38.46
41464.0,2023091801.0,1304.0,6.411,0.444,64.11
41808.0,2023091700.0,597.0,3.95,0.8,39.5
41915.0,2023091706.0,2893.0,5.921,0.121,59.21
42031.0,2023091707.0,418.0,4.468,0.8,44.68
42094.0,2023091013.0,3870.0,5.59,0.19,55.9
42116.0,2023091712.0,3606.0,5.686,0.07,56.86
42302.0,2023091711.0,2998.0,3.964,0.121,39.64
42346.0,2023091710.0,3682.0,5.992,0.8,59.92
42347.0,2023091801.0,4431.0,3.817,0.025,38.17
42357.0,2023091712.0,4453.0,3.794,0.033,37.94
42361.0,2023091701.0,3144.0,5.203,0.018,52.03
42363.0,2023091702.0,3367.0,3.857,0.062,38.57
42368.0,2023091800.0,790.0,5.478,0.062,54.78
42372.0,2023091009.0,3587.0,3.998,0.19,39.980000000000004
42377.0,2023091705.0,292.0,4.589,0.8,45.89
42381.0,2023091700.0,430.0,5.449,0.444,54.489999999999995
42388.0,2023091010.0,4558.0,5.301,0.031,53.010000000000005
42391.0,2023091704.0,3791.0,5.772,0.033,57.72
42393.0,2023091702.0,4016.0,5.167,0.024,51.67
42397.0,2023091701.0,1317.0,4.092,0.16,40.919999999999995
42401.0,2023091801.0,1478.0,4.914,0.308,49.14
42406.0,2023091009.0,3386.0,5.278,0.308,52.779999999999994
42412.0,2023091703.0,4478.0,4.019,0.023,40.19
42427.0,2023091400.0,3668.0,5.48,0.033,54.800000000000004
42431.0,2023091400.0,2885.0,5.685,0.308,56.849999999999994
42437.0,2023091712.0,4328.0,3.95,0.19,39.5
42441.0,2023091704.0,3791.0,6.057,0.028,60.57000000000001
42460.0,2023091705.0,1240.0,4.015,0.098,40.15
42465.0,2023091002.0,4036.0,6.245,0.308,62.45
42467.0,2023091801.0,4431.0,5.598,0.032,55.98
42485.0,2023091710.0,4152.0,5.984,0.055,59.84
42488.0,2023091708.0,4341.0,6.428,0.8,64.28
42489.0,2023091701.0,3144.0,4.015,0.018,40.15
42500.0,2023091710.0,4103.0,3.936,0.089,39.36
42511.0,2023091711.0,3073.0,4.165,0.308,41.65
42543.0,2023091703.0,4179.0,5.599,0.016,55.99
42547.0,2023091708.0,4093.0,3.994,0.027,39.940000000000005
42589.0,2023091708.0,3665.0,4.003,0.108,40.03
42718.0,2023091712.0,3215.0,3.969,0.024,39.69
42794.0,2023091701.0,1317.0,4.084,0.16,40.839999999999996
42816.0,2023091800.0,3852.0,5.695,0.043,56.95
42929.0,2023091711.0,3369.0,5.709,0.029,57.089999999999996
43290.0,2023091703.0,4179.0,3.951,0.018,39.51
43293.0,2023091712.0,788.0,4.118,0.098,41.18000000000001
43296.0,2023091003.0,3750.0,6.428,0.8,64.28
43298.0,2023091701.0,637.0,6.352,0.8,63.52
43299.0,2023091712.0,4453.0,5.231,0.022,52.31
43306.0,2023091801.0,4431.0,5.459,0.026,54.589999999999996
43314.0,2023091703.0,3733.0,5.44,0.052,54.400000000000006
43324.0,2023091712.0,4453.0,3.996,0.019,39.96
43327.0,2023091712.0,4453.0,5.222,0.019,52.220000000000006
43329.0,2023091708.0,3886.0,4.108,0.098,41.08
43333.0,2023091013.0,2213.0,4.728,0.8,47.28
43334.0,2023091707.0,3600.0,4.004,0.062,40.03999999999999
43336.0,2023091800.0,3852.0,3.966,0.023,39.660000000000004
43344.0,2023091702.0,4016.0,3.869,0.02,38.690000000000005
43350.0,2023091800.0,3852.0,5.706,0.027,57.06
43351.0,2023091011.0,4457.0,6.089,0.028,60.89
43353.0,2023091707.0,4001.0,5.279,0.019,52.79
43366.0,2023091001.0,2151.0,5.072,0.8,50.72
43370.0,2023091701.0,3025.0,3.935,0.045,39.35
43373.0,2023091711.0,4627.0,5.411,0.023,54.11
43387.0,2023091711.0,3794.0,5.327,0.021,53.269999999999996
43395.0,2023091704.0,206.0,5.666,0.062,56.660000000000004
43396.0,2023091707.0,3600.0,3.774,0.098,37.74
43399.0,2023091709.0,4397.0,3.949,0.017,39.489999999999995
43404.0,2023091700.0,3873.0,5.599,0.026,55.99
43411.0,2023091706.0,726.0,6.436,0.8,64.36
43415.0,2023091709.0,4397.0,4.087,0.19,40.87
43424.0,2023091710.0,4152.0,3.912,0.02,39.12
43426.0,2023091004.0,1839.0,4.932,0.8,49.32000000000001
43435.0,2023091712.0,3215.0,6.013,0.089,60.129999999999995
43436.0,2023091100.0,629.0,4.56,0.8,45.599999999999994
43454.0,2023091712.0,3606.0,4.123,0.02,41.230000000000004
43474.0,2023091704.0,2214.0,5.888,0.089,58.879999999999995
43497.0,2023091800.0,3042.0,5.825,0.058,58.25
43503.0,2023091801.0,4169.0,5.266,0.082,52.66
43522.0,2023091712.0,3215.0,5.495,0.075,54.95
43533.0,2023091710.0,4103.0,5.607,0.028,56.07
43584.0,2023091703.0,3874.0,3.916,0.058,39.16
43641.0,2023091702.0,3367.0,5.842,0.029,58.419999999999995
43694.0,2023091001.0,284.0,5.5,0.8,55.0
43700.0,2023091011.0,4427.0,5.192,0.058,51.92
43797.0,2023091001.0,3302.0,5.037,0.308,50.37
43971.0,2023091400.0,4107.0,3.91,0.052,39.1
43986.0,2023091708.0,1168.0,5.456,0.235,54.56
44174.0,2023091710.0,1820.0,4.864,0.8,48.64
44792.0,2023091704.0,2817.0,3.816,0.062,38.16
44813.0,2023091002.0,3594.0,6.313,0.444,63.129999999999995
44819.0,2023091707.0,4001.0,3.994,0.023,39.940000000000005
44820.0,2023091709.0,3812.0,3.932,0.03,39.32
44822.0,2023091705.0,4350.0,4.03,0.015,40.300000000000004
44823.0,2023091800.0,4369.0,6.094,0.02,60.940000000000005
44824.0,2023091801.0,4431.0,3.932,0.018,39.32
44827.0,2023091710.0,4103.0,5.687,0.03,56.870000000000005
44830.0,2023091708.0,4341.0,5.554,0.023,55.540000000000006
44834.0,2023091703.0,4401.0,5.31,0.108,53.099999999999994
44835.0,2023091705.0,4117.0,3.959,0.022,39.59
44837.0,2023091712.0,3606.0,5.668,0.025,56.68
44839.0,2023091701.0,3025.0,5.542,0.032,55.42
44841.0,2023091801.0,4431.0,3.99,0.024,39.900000000000006
44842.0,2023091801.0,3509.0,5.234,0.235,52.34
44848.0,2023091007.0,3145.0,5.413,0.045,54.13
44849.0,2023091705.0,4032.0,3.873,0.026,38.730000000000004
44851.0,2023091800.0,4369.0,5.686,0.02,56.86
44852.0,2023091711.0,3794.0,3.916,0.03,39.16
44853.0,2023091710.0,4044.0,3.863,0.075,38.63
