player_id,side,pillar_coverage,pillar_reaction,overall_0_100,per10,pillar_anticipation,pillar_execution,pillar_separation,pillar_innovation,pillar_eyes
35452.0,DB,,0.45454545454545453,45.5,,,,,,
35459.0,DB,0.45454545454545453,0.6304347826086957,54.2,,,,,,
37078.0,DB,0.3684210526315789,0.3076923076923077,33.8,,,,,,
37097.0,DB,,0.45454545454545453,45.5,,,,,,
37139.0,WR,,,50.4,5.2,0.4166666666666667,0.5833333333333334,0.5,0.5833333333333334,0.5
37145.0,DB,,0.35714285714285715,35.7,,,,,,
38540.0,DB,0.3157894736842105,0.4375,37.7,,,,,,
38559.0,DB,0.35714285714285715,0.7142857142857143,53.6,,,,,,
38577.0,DB,0.3125,0.38095238095238093,34.7,,,,,,
38588.0,DB,0.21739130434782608,0.24193548387096775,23.0,,,,,,
38607.0,DB,0.38461538461538464,0.16363636363636364,27.4,,,,,,
38696.0,WR,,,52.1,5.3,0.42857142857142855,0.6428571428571429,0.5714285714285714,0.5714285714285714,0.42857142857142855
38707.0,DB,0.5,0.35,42.5,,,,,,
38843.0,DB,,0.5263157894736842,52.6,,,,,,
38868.0,DB,0.4166666666666667,0.5978260869565217,50.7,,,,,,
39973.0,WR,,,47.3,4.8,0.3076923076923077,0.8076923076923077,0.5769230769230769,0.46153846153846156,0.23076923076923078
39983.0,WR,,,56.5,5.7,0.4583333333333333,0.7916666666666666,0.625,0.5833333333333334,0.375
39984.0,DB,0.36363636363636365,0.3176470588235294,34.1,,,,,,
39989.0,WR,,,54.4,5.5,0.36,0.8,0.72,0.52,0.36
40011.0,WR,,,52.5,5.2,0.4444444444444444,0.7222222222222222,0.6111111111111112,0.4444444444444444,0.3888888888888889
40017.0,DB,0.29411764705882354,0.43548387096774194,36.5,,,,,,
40024.0,WR,,,50.6,5.1,0.3333333333333333,0.8148148148148148,0.6296296296296297,0.4444444444444444,0.3333333333333333
40026.0,WR,,,48.8,4.9,0.38461538461538464,0.6153846153846154,0.6153846153846154,0.38461538461538464,0.46153846153846156
40107.0,DB,0.45454545454545453,0.75,60.2,,,,,,
40129.0,WR,,,50.0,5.1,0.38461538461538464,0.6153846153846154,0.6153846153846154,0.46153846153846156,0.46153846153846156
40166.0,DB,0.4166666666666667,0.675,54.6,,,,,,
40488.0,WR,,,53.7,5.5,0.3684210526315789,0.7368421052631579,0.6842105263157895,0.5263157894736842,0.42105263157894735
41227.0,DB,,0.38461538461538464,38.5,,,,,,
41231.0,DB,,0.42857142857142855,42.9,,,,,,
41233.0,WR,,,49.2,5.1,0.2692307692307692,0.8076923076923077,0.6153846153846154,0.46153846153846156,0.38461538461538464
41238.0,WR,,,48.4,5.0,0.3125,0.6875,0.5625,0.5625,0.375
41243.0,DB,0.35714285714285715,0.5074626865671642,43.2,,,,,,
41246.0,WR,,,49.3,5.0,0.35714285714285715,0.6428571428571429,0.6428571428571429,0.5,0.35714285714285715
41282.0,WR,,,50.2,5.2,0.24,0.8,0.72,0.44,0.4
41290.0,WR,,,53.8,5.5,0.35294117647058826,0.7058823529411765,0.7058823529411765,0.47058823529411764,0.5294117647058824
41325.0,WR,,,47.7,4.9,0.3333333333333333,0.6666666666666666,0.4666666666666667,0.4666666666666667,0.5333333333333333
41349.0,WR,,,57.6,5.9,0.42105263157894735,0.7368421052631579,0.6842105263157895,0.6842105263157895,0.42105263157894735
41464.0,DB,,0.4166666666666667,41.7,,,,,,
41915.0,DB,0.45454545454545453,0.3333333333333333,39.4,,,,,,
42031.0,DB,0.45454545454545453,0.45454545454545453,45.5,,,,,,
42094.0,DB,0.45454545454545453,0.3333333333333333,39.4,,,,,,
42116.0,DB,0.45454545454545453,0.4583333333333333,45.6,,,,,,
42346.0,DB,0.45454545454545453,0.45454545454545453,45.5,,,,,,
