play_id,wr_id,A_wr,S_wr,E_wr,Eyes_wr,Innovation_wr,Improv_wr,db_id,A_db,S_db,E_db,Eyes_db,Innovation_db,Improv_db
3696,46150,6.5,4.5,8.0,7.5,4.0,3.0,56045,7.0,5.0,6.0,5.0,4.0,4.5
540,53541,5.0,6.0,7.0,5.5,3.5,3.0,46215,5.5,6.0,6.0,5.0,2.5,3.5
3163,44931,6.5,9.0,7.5,7.5,4.0,4.0,46087,2.5,2.5,4.5,4.5,2.5,2.5
4327,56070,3.5,3.5,5.5,4.5,3.5,3.5,55137,4.5,5.5,5.5,4.5,3.0,3.0
3335,54518,4.0,3.5,6.5,4.0,3.5,3.0,53462,7.0,7.5,7.0,6.0,4.5,3.0
2485,56024,3.5,2.5,6.5,4.0,3.0,3.5,46168,6.5,8.5,7.0,5.5,4.5,3.0
1810,53435,6.0,5.5,6.0,5.0,3.0,5.0,53476,8.0,7.5,6.5,5.5,5.5,6.0
1409,54723,5.5,9.5,8.0,5.0,3.0,1.5,44823,2.5,2.0,2.5,2.0,0.5,2.0
2613,53541,4.5,3.5,5.5,4.5,2.5,0.5,54486,7.5,9.0,8.0,6.5,2.0,3.5
3644,55934,6.0,4.0,7.5,5.0,2.5,3.0,55137,8.5,9.0,8.0,6.5,5.0,6.0
3663,56042,4.5,5.0,6.5,6.0,3.0,4.5,43314,8.5,9.0,7.5,7.5,3.5,5.0
928,55887,7.0,6.0,9.0,8.5,4.0,3.0,46194,5.5,5.5,5.0,4.0,3.5,3.0
3891,47834,6.0,2.5,6.0,5.0,4.0,4.5,54622,8.0,9.5,7.5,6.5,3.5,3.5
2346,54517,4.5,3.0,4.5,4.5,3.0,3.0,55969,6.0,6.5,6.5,5.0,3.0,2.5
2687,52595,5.0,6.0,6.0,4.0,4.5,4.5,52469,5.0,5.5,5.0,5.0,3.5,3.0
1398,52441,4.0,2.5,5.0,4.5,3.0,2.5,44878,7.5,9.5,8.0,6.5,4.0,5.5
1190,52430,7.0,6.5,6.5,6.0,5.0,4.0,53583,6.5,7.0,6.5,5.0,3.5,4.5
1946,46109,6.0,5.0,7.0,4.5,4.0,4.0,42361,5.5,3.0,6.0,5.5,2.5,3.0
921,52425,4.5,5.5,7.5,4.5,3.5,3.0,46211,5.5,6.5,6.0,4.0,4.5,3.0
3204,40026,4.5,5.0,5.5,5.0,2.5,4.0,46698,5.5,4.5,5.0,5.5,3.5,3.5
3796,52441,5.5,7.5,7.0,4.5,3.5,3.0,42393,6.5,5.0,6.5,6.0,3.5,2.5
3302,41238,7.5,6.0,6.5,6.5,4.5,4.5,42441,7.0,6.5,7.0,5.5,5.0,6.0
4147,39973,7.5,6.0,7.0,7.0,4.5,4.5,54514,5.5,7.5,7.0,7.5,4.5,4.0
2918,53707,5.0,3.5,6.5,5.0,3.0,3.5,53503,7.0,7.5,7.5,5.5,4.5,4.0
307,54603,6.0,4.0,7.0,5.0,2.5,3.0,53596,7.5,7.5,7.0,6.5,3.0,4.0
3653,54603,6.0,4.0,6.5,4.5,3.0,3.5,53596,7.0,5.5,6.0,5.0,4.5,4.5
676,44896,6.0,6.5,7.0,5.5,4.0,4.0,52458,7.0,7.0,7.0,6.5,4.5,3.5
2449,47834,5.5,7.0,6.5,6.0,4.0,3.5,55881,7.5,5.5,6.0,6.5,3.0,2.5
1882,44896,7.0,6.5,7.0,6.5,4.0,4.0,52458,7.0,7.0,7.0,6.0,4.5,3.5
1760,54519,7.0,6.0,6.0,6.0,4.0,4.0,52458,7.0,7.0,7.0,5.5,4.0,3.5
3001,43329,6.0,5.5,6.0,4.0,4.5,4.0,38540,7.0,5.5,6.0,6.5,4.0,5.0
4826,53488,6.0,6.5,7.5,5.0,4.0,4.5,43314,7.5,6.0,5.0,6.0,3.0,3.5
147,54481,6.0,6.5,7.0,6.0,4.0,4.0,56045,7.0,6.0,6.0,6.0,2.5,2.5
1944,43344,6.5,5.5,7.0,6.5,3.0,3.0,46073,7.5,6.0,6.5,6.5,4.0,4.0
