play_id,wr_id,A_wr,S_wr,E_wr,Eyes_wr,Innovation_wr,Improv_wr,db_id,A_db,S_db,E_db,Eyes_db,Innovation_db,Improv_db
3696,46150,6.0,6.0,8.0,6.0,4.0,3.0,56045,7.0,4.0,5.0,5.0,3.0,4.0
540,53541,6.0,6.0,7.0,5.0,4.0,4.0,46215,6.0,5.0,7.0,5.0,3.0,3.0
3163,44931,7.0,8.0,7.0,6.0,4.0,4.0,46087,3.0,3.0,7.0,4.0,2.0,2.0
4327,56070,5.0,4.0,5.0,5.0,3.0,3.0,55137,5.0,6.0,7.0,6.0,3.0,4.0
3335,54518,4.0,4.0,7.0,5.0,2.0,4.0,53462,8.0,8.0,8.0,6.0,5.0,4.0
2485,56024,4.0,1.0,6.0,5.0,3.0,3.0,46168,6.0,9.0,6.0,5.0,5.0,4.0
1810,53435,5.0,6.0,7.0,4.0,4.0,3.0,53476,10.0,8.0,7.0,4.0,5.0,5.0
1409,54723,5.0,10.0,8.0,5.0,3.0,3.0,44823,3.0,3.0,3.0,3.0,1.0,2.0
2613,53541,5.0,3.0,5.0,6.0,3.0,0.0,54486,6.0,9.0,7.0,7.0,2.0,3.0
3644,55934,6.0,3.0,8.0,6.0,4.0,5.0,55137,7.0,10.0,8.0,6.0,6.0,7.0
3663,56042,5.0,7.0,7.0,5.0,4.0,6.0,43314,10.0,7.0,8.0,7.0,4.0,4.0
928,55887,6.0,5.0,9.0,8.0,4.0,3.0,46194,6.0,6.0,4.0,5.0,3.0,2.0
3891,47834,7.0,3.0,6.0,5.0,4.0,3.0,54622,7.0,9.0,7.0,6.0,4.0,3.0
2346,54517,4.0,4.0,4.0,5.0,3.0,3.0,55969,6.0,7.0,6.0,4.0,3.0,3.0
2687,52595,5.0,5.0,7.0,4.0,4.0,4.0,52469,5.0,5.0,3.0,5.0,3.0,3.0
1398,52441,6.0,3.0,5.0,4.0,3.0,4.0,44878,8.0,9.0,8.0,7.0,3.0,4.0
1190,52430,7.0,6.0,7.0,7.0,5.0,6.0,53583,6.0,6.0,5.0,5.0,3.0,5.0
1946,46109,7.0,4.0,8.0,6.0,5.0,4.0,42361,7.0,3.0,7.0,4.0,3.0,2.0
921,52425,4.0,6.0,8.0,4.0,2.0,3.0,46211,5.0,7.0,7.0,5.0,4.0,3.0
3204,40026,7.0,6.0,8.0,3.0,2.0,4.0,46698,6.0,5.0,4.0,5.0,3.0,2.0
3796,52441,5.0,8.0,7.0,4.0,5.0,2.0,42393,7.0,3.0,5.0,5.0,2.0,4.0
3302,41238,8.0,5.0,6.0,5.0,5.0,4.0,42441,7.0,6.0,8.0,7.0,5.0,6.0
4147,39973,7.0,7.0,9.0,7.0,3.0,4.0,54514,5.0,6.0,7.0,7.0,6.0,3.0
2918,53707,4.0,3.0,6.0,5.0,4.0,3.0,53503,6.0,9.0,6.0,6.0,4.0,4.0
307,54603,6.0,4.0,7.0,5.0,3.0,3.0,53596,7.0,9.0,8.0,6.0,3.0,3.0
3653,54603,6.0,3.0,6.0,6.0,1.0,3.0,53596,7.0,6.0,7.0,4.0,4.0,4.0
676,44896,6.0,6.0,8.0,7.0,3.0,3.0,52458,7.0,7.0,6.0,8.0,3.0,4.0
2449,47834,5.0,8.0,6.0,6.0,4.0,5.0,55881,7.0,5.0,5.0,4.0,3.0,3.0
1882,44896,7.0,6.0,5.0,6.0,4.0,3.0,52458,8.0,8.0,8.0,6.0,4.0,5.0
1760,54519,6.0,6.0,5.0,6.0,3.0,5.0,52458,7.0,5.0,7.0,5.0,4.0,4.0
3001,43329,7.0,6.0,6.0,6.0,4.0,5.0,38540,6.0,7.0,6.0,5.0,3.0,6.0
4826,53488,7.0,7.0,6.0,5.0,5.0,3.0,43314,6.0,5.0,7.0,7.0,3.0,4.0
147,54481,5.0,7.0,7.0,6.0,4.0,4.0,56045,7.0,6.0,5.0,7.0,4.0,0.0
1944,43344,5.0,5.0,8.0,8.0,3.0,2.0,46073,8.0,6.0,7.0,7.0,2.0,4.0
2270,40488,4.0,4.0,7.0,4.0,4.0,3.0,43314,6.0,6.0,6.0,6.0,4.0,2.0
2308,52595,6.0,7.0,7.0,6.0,4.0,3.0,54533,6.0,7.0,6.0,5.0,3.0,4.0
3372,54475,6.0,3.0,7.0,6.0,2.0,2.0,38540,6.0,8.0,8.0,8.0,4.0,5.0
1502,55904,4.0,4.0,6.0,5.0,3.0,3.0,43314,8.0,7.0,8.0,4.0,5.0,5.0
1604,41290,5.0,6.0,8.0,6.0,3.0,4.0,55969,6.0,10.0,9.0,8.0,4.0,5.0
2545,53541,7.0,4.0,7.0,6.0,3.0,3.0,52424,9.0,9.0,9.0,7.0,4.0,7.0
3298,53678,7.0,6.0,8.0,6.0,4.0,3.0,54618,4.0,5.0,5.0,6.0,3.0,4.0
134,41238,5.0,5.0,6.0,4.0,2.0,4.0,43641,4.0,6.0,6.0,5.0,2.0,3.0
1304,45185,6.0,7.0,7.0,6.0,6.0,4.0,43299,7.0,7.0,7.0,7.0,4.0,4.0
1770,42412,7.0,7.0,8.0,4.0,4.0,4.0,46124,6.0,8.0,7.0,7.0,4.0,4.0
3350,54519,7.0,5.0,8.0,5.0,4.0,3.0,56030,8.0,6.0,6.0,6.0,4.0,6.0
1869,44930,6.0,7.0,7.0,5.0,4.0,3.0,52546,7.0,6.0,6.0,7.0,5.0,5.0
119,47808,5.0,5.0,6.0,5.0,3.0,3.0,44830,6.0,6.0,6.0,7.0,5.0,3.0
3140,47834,6.0,6.0,8.0,7.0,2.0,1.0,55881,8.0,7.0,9.0,7.0,4.0,4.0
711,55886,6.0,7.0,6.0,4.0,4.0,3.0,54525,5.0,4.0,3.0,6.0,4.0,3.0
4269,52465,5.0,3.0,5.0,6.0,2.0,3.0,53601,8.0,7.0,8.0,6.0,2.0,4.0
