play_id,wr_id,A_wr,S_wr,E_wr,Eyes_wr,Innovation_wr,Improv_wr,db_id,A_db,S_db,E_db,Eyes_db,Innovation_db,Improv_db
3696,46150,6,5,8,7,5,4,56045,7,5,6,5,4,4
540,53541,5,6,7,5,4,3,46215,6,6,6,5,3,3
3163,44931,7,9,8,7,5,4,46087,3,2,5,4,3,3
4327,56070,4,4,5,4,3,3,55137,5,6,6,5,3,3
3335,54518,4,3,6,4,3,3,53462,7,8,7,6,4,3
2485,56024,4,3,6,4,3,3,46168,7,8,7,6,4,3
1810,53435,6,5,6,5,4,4,53476,8,8,7,6,5,6
1409,54723,5,9,8,5,3,2,44823,3,2,3,2,1,2
2613,53541,5,3,6,5,2,1,54486,7,9,8,6,2,3
3644,55934,6,3,7,5,3,3,55137,8,9,8,7,5,6
3663,56042,5,5,7,6,3,4,43314,9,8,8,8,4,5
928,55887,7,6,9,8,4,3,46194,6,5,5,4,3,3
3891,47834,6,3,6,5,4,4,54622,8,9,7,6,4,4
2346,54517,4,4,5,4,3,3,55969,6,7,6,5,3,3
2687,52595,5,6,6,4,4,4,52469,5,6,5,5,3,3
1398,52441,4,3,5,5,3,3,44878,8,9,8,6,4,5
1190,52430,7,6,7,6,5,4,53583,6,6,6,5,4,4
1946,46109,6,5,7,5,4,4,42361,5,4,6,5,3,3
921,52425,4,5,7,4,3,3,46211,6,6,6,5,4,3
3204,40026,5,5,6,5,3,4,46698,6,5,5,5,3,3
3796,52441,6,7,7,5,4,3,42393,6,5,6,6,3,3
3302,41238,7,6,6,6,5,5,42441,7,7,7,6,5,6
4147,39973,7,6,7,7,5,4,54514,6,7,7,7,4,4
2918,53707,5,4,6,5,3,3,53503,7,8,7,6,4,4
307,54603,6,4,7,5,3,3,53596,7,8,7,6,3,4
3653,54603,6,4,6,5,3,3,53596,7,7,6,5,4,4
676,44896,6,6,7,6,4,4,52458,7,7,7,7,4,4
2449,47834,6,7,7,6,4,4,55881,7,6,6,6,3,3
1882,44896,7,6,7,6,4,4,52458,7,7,7,6,4,4
1760,54519,7,6,6,6,4,4,52458,7,6,7,6,4,4
3001,43329,6,5,6,5,4,4,38540,7,6,6,6,4,5
4826,53488,6,6,7,5,4,4,43314,7,6,6,6,3,4
147,54481,6,6,7,6,4,4,56045,7,6,6,6,3,3
1944,43344,6,6,7,6,3,3,46073,7,6,7,6,4,4
2270,40488,5,5,6,5,4,3,43314,7,6,6,6,4,4
2308,52595,6,6,7,6,4,4,54533,6,6,6,5,3,3
3372,54475,6,4,6,5,3,3,38540,7,8,8,7,4,5
1502,55904,5,4,6,5,3,3,43314,7,8,8,6,4,4
1604,41290,5,6,7,6,4,4,55969,7,8,8,7,4,5
2545,53541,7,4,7,6,3,3,52424,8,9,8,7,4,6
3298,53678,7,6,7,6,4,4,54618,6,5,6,5,3,3
134,41238,6,6,6,5,3,4,43641,6,6,6,6,3,4
1304,45185,7,7,8,6,5,5,43299,7,7,7,6,4,5
1770,42412,7,5,7,5,3,3,46124,6,7,7,6,3,3
3350,54519,7,6,7,6,3,3,56030,7,6,7,6,4,4
1869,44930,7,6,7,6,4,4,52546,7,6,7,6,4,4
119,47808,6,5,6,5,3,3,44830,7,6,7,6,4,4
3140,47834,6,6,7,6,3,3,55881,8,7,8,6,3,4
711,55886,7,7,6,5,4,3,54525,6,6,5,5,4,4
4269,52465,6,5,6,6,3,3,53601,7,6,7,6,4,4
