play_id,nfl_id,A,S,E,Eyes,Innovation,Improv,player_side,game_id,frame_id,player_position,player_role,x,y,s,a,dir,o,num_frames_output,ball_land_x,ball_land_y,season,week,pass_result,pass_length,route_of_targeted_receiver,team_coverage_man_zone,yards_gained,expected_points,expected_points_added,throw_frame,PER10,PER10360
3696,46150,6.0,5.5,8.0,6.5,4.5,3.5,Offense,2023092410,9,WR,Targeted Receiver,90.19,9.24,3.34,4.35,115.72,280.07,8,95.879997253418,13.539999961853,2023,3,C,8,SLANT,ZONE_COVERAGE,10,4.78631027578376,-0.105650018085726,19,6,6
540,53541,5.5,6.0,7.0,5.0,4.0,3.5,Offense,2023092402,17,WR,Targeted Receiver,43.54,25.06,6.78,0.89,46.86,53.1,8,46.8300018310547,30.0200004577637,2023,3,C,10,HITCH,MAN_COVERAGE,15,1.74332938855514,0.691293670795858,27,6,5
3163,44931,7.0,8.5,7.5,6.5,4.5,4.0,Offense,2023091700,29,WR,Targeted Receiver,52.69,42.31,8.64,0.83,283.2,232.62,26,26.8700008392334,43.0200004577637,2023,2,C,41,GO,ZONE_COVERAGE,45,1.70975504815578,3.48143876728136,39,7,6
4327,56070,4.5,4.0,5.0,4.5,3.0,3.0,Offense,2023091704,35,WR,Targeted Receiver,66.46,41.61,4.7,4.8,266.62,225.24,9,68.370002746582,37.2999992370605,2023,2,I,13,HITCH,ZONE_COVERAGE,0,0.823075911845081,-0.190782218822278,45,4,4
3335,54518,4.0,3.5,6.5,4.5,2.5,3.5,Offense,2023091003,10,WR,Targeted Receiver,92.35,44.65,3.62,5.07,266.16,248.57,9,87.2799987792969,38.5400009155273,2023,1,I,5,IN,ZONE_COVERAGE,0,0.445391634013504,-0.716451491694897,20,4,4
2485,56024,4.0,2.0,6.0,4.5,3.0,3.0,Offense,2023092403,17,WR,Targeted Receiver,96.84,45.72,2.79,3.72,239.81,262.71,8,93.6800003051758,38.1199989318848,2023,3,I,7,SLANT,MAN_COVERAGE,0,-1.0856110304594,-1.61828792374581,27,4,4
1810,53435,5.5,5.5,6.5,4.5,4.0,3.5,Offense,2023091010,8,WR,Targeted Receiver,60.42,43.49,2.75,5.38,258.47,225.4,11,55.7799987792969,34.7299995422363,2023,1,C,6,IN,MAN_COVERAGE,8,2.3434022385627,0.320211148238741,18,5,5
1409,54723,5.0,9.5,8.0,5.0,3.0,2.5,Offense,2023092403,24,WR,Targeted Receiver,45.05,17.44,8.25,0.22,273.8,273.03,28,12.3900003433228,24.6399993896484,2023,3,I,45,POST,ZONE_COVERAGE,0,3.04519321932457,-0.436664386419579,34,6,6
2613,53541,5.0,3.0,5.5,5.5,2.5,0.5,Offense,2023090700,25,WR,Targeted Receiver,80.86,18.44,6.2,2.9,268.96,234.5,12,69.7900009155273,22.3299999237061,2023,1,C,18,IN,MAN_COVERAGE,18,0.952536528464407,1.44721733918414,35,4,4
3644,55934,6.0,3.0,7.5,5.5,3.5,4.0,Offense,2023091704,15,WR,Targeted Receiver,29.62,36.81,6.25,2.24,292.84,273.99,14,21.3799991607666,49.5099983215332,2023,2,C,12,OUT,ZONE_COVERAGE,23,4.66754080867395,2.33245919132605,25,5,5
