# Pillar Thresholds:
# Anticipation - ms, ≤100-200 (elite), >150 (red flag/ low)
# Execution - yds, ≤1-1.5 (elite), >2 (red flag/ low)
# Separation - yds, ≥1-2 (elite), <0.5 (red flag/ low)
# Innovation - Δyds, ≥0.3–1 (elite), ≤0.1 (red flag/ low)


pillar,bin_min,bin_max,score_1_to_10

anticipation,0,50,10
anticipation,51,100,8
anticipation,101,150,6
anticipation,151,200,4
anticipation,201,9999,2
  
execution,0,1.0,10
execution,1.1,1.5,8
execution,1.6,2.0,6
execution,2.1,3.0,4
execution,3.1,9999,2

separation,2.0,9999,10
separation,1.0,1.9,8
separation,0.6,0.9,6
separation,0.1,0.5,4
separation,0,0.09,2

innovation,1.0,9999,10
innovation,0.6,0.9,8
innovation,0.3,0.5,6
innovation,0.1,0.29,4
innovation,0,0.09,2
